O*NET-SOC Code,Title,Analytical_Thinking,Emotional_Intelligence,Creativity,Manual_Dexterity,AI_Exposure_Index,Skill_Disruption_Index,Labour_Market_Churn,Repetitiveness,Skill_Diversity,Cognitive_Manual_Ratio,Composite_Risk_Score,Automation_Risk,Cluster
11-1011.00,Chief Executives,0.8098859315589354,0.9100000000000004,0.79,0.0,0.94,0.97,0.35,0.5,0.3695377375647191,5.0197718530783275,0.501,Medium,1
11-1011.03,Chief Sustainability Officers,0.7110266159695818,0.8042857142857143,0.8333333333333334,0.0,0.94,0.97,0.35,0.5,0.34421010296373517,4.697291317782677,0.488,Medium,1
11-1021.00,General and Operations Managers,0.6197718631178707,0.8042857142857143,0.5800000000000001,0.16025641025641024,0.94,0.97,0.35,0.5,0.23630540862240548,3.035271666033562,0.5640000000000001,Medium,1
11-2011.00,Advertising and Promotions Managers,0.6653992395437263,0.802857142857143,0.79,0.12179487179487175,0.94,0.97,0.35,0.5,0.2816605604529774,3.631835000906901,0.501,Medium,1
11-2021.00,Marketing Managers,0.6197718631178707,0.7514285714285716,0.7466666666666667,0.0,0.94,0.97,0.35,0.5,0.31049458105581584,4.23573419395475,0.514,Medium,1
11-2022.00,Sales Managers,0.6197718631178707,0.8042857142857143,0.79,0.12179487179487175,0.94,0.97,0.35,0.5,0.27906757272533045,3.5607523867987823,0.501,Medium,1
11-2033.00,Fundraising Managers,0.7110266159695818,0.8214285714285715,0.7066666666666667,0.03846153846153849,0.94,0.97,0.35,0.5,0.31151521383685987,4.158369149826266,0.526,Medium,1
11-3012.00,Administrative Services Managers,0.5703422053231939,0.7142857142857143,0.54,0.3205128205128205,0.94,0.97,0.35,0.5,0.14183518067489065,2.223765274313143,0.5760000000000001,Medium,0
11-3013.00,Facilities Managers,0.5703422053231939,0.7128571428571431,0.4566666666666667,0.4807692307692307,0.94,0.97,0.35,0.5,0.10340189439318102,1.7739810329371997,0.601,Medium,0
11-3013.01,Security Managers,0.7604562737642586,0.8571428571428572,0.7066666666666667,0.358974358974359,0.94,0.97,0.35,0.5,0.20286966948335577,2.705861671637281,0.526,Medium,1
11-3021.00,Computer and Information Systems Managers,0.7110266159695818,0.7671428571428575,0.6233333333333334,0.358974358974359,0.94,0.97,0.35,0.5,0.16476425380915816,2.446525652417034,0.5509999999999999,Medium,0
11-3031.00,Financial Managers,0.6653992395437263,0.7485714285714287,0.5,0.24038461538461536,0.94,0.97,0.35,0.5,0.1947945717697358,2.58510323656007,0.5880000000000001,Medium,1
